user_id;nb_emprunts_total;duree_moy_emprunt;score_lecture_moy;score_lecture_max;nb_sections_lues;section_principale
0137133d7f6f;6;16,3;0,6417;0,675;2;OEUVRES LITTÉRAIRES AU PROGRAMME
02afef41f08b;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
0408b5f8de3c;4;14;0,5875;0,65;2;OEUVRES LITTÉRAIRES AU PROGRAMME
068ba402fe68;1;14;0,525;0,525;1;HISTOIRE-GÉOGRAPHIE
09f5ae03691d;1;14;0,525;0,525;1;OEUVRES LITTÉRAIRES AU PROGRAMME
0a6db61045a7;1;14;0,525;0,525;1;OEUVRES LITTÉRAIRES AU PROGRAMME
0afa81d92bf5;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
0b1557e3a39e;1;14;0,525;0,525;1;LITTÉRATURE
0b97b6bc58af;4;14;0,5875;0,65;2;LITTÉRATURE
0c710e1b0c99;1;14;0,525;0,525;1;LITTÉRATURE
117b66efaf62;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
11f64877173a;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
12d5697e539b;2;14;0,55;0,575;2;LITTÉRATURE
146b9450c694;1;14;0,525;0,525;1;MATHÉMATIQUES SECONDAIRE
167091f56896;6;14;0,5333;0,575;2;LITTÉRATURE
1a71bf9058d7;9;14;0,5694;0,65;2;LITTÉRATURE
1a8d2eb2301e;1;18;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
1b212471bba5;1;14;0,525;0,525;1;LITTÉRATURE JEUNESSE BÉNINOISE ET AFRICAINE
1cc1c6d97800;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
1ec900ed20df;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
21f52c7a7990;1;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
2656bb623da7;1;14;0,525;0,525;1;ETUDES DES LANGUES
285732af4a35;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
28c7decfbd4e;1;25;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
2be6c0f57daf;1;14;0,525;0,525;1;PHILOSOPHIE
2d842c8242e0;2;14;0,525;0,525;1;RELIGION ET SPIRITUALITÉ
2e0b5c76e84d;1;14;0,525;0,525;1;ETUDES DES LANGUES
2f8b3ae9519a;2;14;0,55;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
3002b5442265;2;14;0,55;0,575;2;LITTÉRATURE
30ced6dcaba1;6;14;0,5333;0,575;2;LITTÉRATURE
32a6a70e8def;2;14;0,525;0,525;1;SCIENCES DE LA VIE ET DE LA TERRE
351c44c96312;2;14;0,55;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
352a11baeee5;1;14;0,525;0,525;1;LITTÉRATURE
380af54c0406;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
38313fd199f4;1;14;0,525;0,525;1;FRANÇAIS
392b4a2803ee;4;14;0,5875;0,6;3;PHYSIQUE, CHIMIE ET TECHNOLOGIE
3e49a635348d;2;14;0,55;0,575;2;MATHÉMATIQUES SECONDAIRE
42a38b225d52;2;14;0,55;0,575;2;MATHÉMATIQUES SECONDAIRE
453eb5656b9b;2;14;0,55;0,575;2;PHYSIQUE, CHIMIE ET TECHNOLOGIE
467a45cbcc22;2;14;0,525;0,525;1;LITTÉRATURE
475612c95cda;1;14;0,525;0,525;1;LITTÉRATURE
4788f4438d9c;3;14;0,5417;0,575;2;LITTÉRATURE
49f95f07910d;1;14;0,525;0,525;1;PHYSIQUE, CHIMIE ET TECHNOLOGIE
4a919901e571;3;18,7;0,5417;0,575;2;ETUDES DES LANGUES
