Code_barres,nb_emprunts_total,nb_emprunteurs_uniq,duree_moy_emprunt,score_lecture_moy,score_lecture_max,Titre,Auteur,Section,Cote,Annee,Description,Resume,Popularite_log
152,1,1,14.0,0.525,0.525,MEMOTECH ÉLECTROTECHNIQUE,BOURGEOIS,FORMATION TECHNIQUE ET PROFESSIONNELLE,K.30.3 BOU,2019,Electricité- Electronique- Electrotechnique, Cet ouvrage est conçu afin de répondre au mieux aux exigences et aux besoins des techniciens de l'industrie et des futurs techniciens en formation en génie électrique.,0.6931
163,1,1,14.0,0.525,0.525,ALGÈBRE,CLÉNET,UMATHEMATIQUES FONDAMENTALES,E.30 CLE,1998,Documents généraux et du niveau universitaire de Maths, ,0.6931
176,1,1,14.0,0.525,0.525,CALCUL DIFFÉRENTIEL,AMRANI,UMATHEMATIQUES FONDAMENTALES,E.30 AMR,DL 2019,Documents généraux et du niveau universitaire de Maths,"La 4e de couv. indique : ""Le calcul différentiel est aujourd'hui au carrefour de très nombreuses branches des mathématiques. Il est un outil essentiel en géométrie différentielle et dans l'étude des équations différentielles. Il est également devenu l'outil fondamental pour la formulation mathématique de nombreuses théories physiques, dans des domaines aussi variés que l'optique ou la mécanique quantique. Le calcul différentiel se révèle par ailleurs un outil précieux pour l'économie, et des études récentes montrent que le calcul différentiel extérieur permet d'établir une relation fructueuse entre l'économie et la géométrie différentielle. Cet ouvrage offre un cours complet où les résultats sont énoncés et démontrés de manière claire et détaillée. Chaque chapitre propose un grand choix d'execices entièrement corrigés et prioritairement orientés vers la maîtrise des concepts et l'acquisition des techniques fondamentales. Le contenu de ce livre s'articule autour du thème central de la différentiabilité et de ses principales applications. Le théorème des fonctions implicites et celui d'inversion locale permettent notamment un premier pas vers la géométrie différentielle. L'étude du calcul différentiel extérieur et des formes différentielles permet de forger des outils fondamentaux pour l'analyse et la géométrie. Cet ouvrage s'adresse principalement aux étudiants de niveau L3 et M1 ainsi qu'aux candidats à l'agrégation. Les trois premiers chapitres sont accessibles à un public scientifique généraliste de niveau bac +3 et peuvent être utilisés avec profit par les candidats du CAPES.""",0.6931
260,1,1,14.0,0.575,0.5750000000000001,ARITHMÉTIQUE - COURS ET EXERCICES CORRIGÉS,LIRET,UMATHEMATIQUES FONDAMENTALES,E.30 LIR,2019,Documents généraux et du niveau universitaire de Maths,"Ce cours d'arithmétique s'adresse aux étudiants en Licence de mathématiques. Les premiers chapitres rappellent les fondamentaux (divisibilité dans Z, congruence) et l'algèbre de base nécessaire (relations d'équivalence, ensembles quotients), avant de proposer ensuite un cours complet, solide, valable pour toute la Licence. L'ensemble est précis, structuré et illustré de nombreux exemples. Des exercices corrigés sont proposés en fin de chapitre",0.6931
384,2,2,14.0,0.525,0.525,MATHÉMATIQUES 1ÈRE C-D,TCHINKOUN K.,MATHÉMATIQUES SECONDAIRE,E.10.2 TCH,2005,Documents de Maths de la classe de Première,"Ce livre contient:
- Des activités de construction de savoirs
- Des cours détaillés
- Des exercices résolus
- Des sujets de devoirs ou compositions des collèges et lycées",1.0986
568,1,1,14.0,0.525,0.525,MATHS EN PRATIQUE À L'USAGE DES ÉTUDIANTS,LIRET,UMATHEMATIQUES FONDAMENTALES,E.30 LIR,2006,Documents généraux et du niveau universitaire de Maths,"L'ouvrage présente les méthodes de raisonnement et d'analyse mathématiques, les outils de calcul ainsi que de nombreux exemples de modélisation dans différents domaines (physique, biologie et économie). Les thèmes traités (algèbre et analyse) sont communément abordés en L1, L2 et L3 et IUT. Le cours donne la priorité à l'efficacité opératoire et les applications, sous la forme d'exercices résolus intégrés dans le cours, abordent des problèmes concrets. Des exercices d'entraînement sont par ailleurs proposés en fin de chapitre. Les corrigés sont disponibles sur le site web dunod.com.",0.6931
569,2,2,14.0,0.55,0.5750000000000001,ALGÈBRE ET GÉOMÉTRIE,DENIZET,UMATHEMATIQUES FONDAMENTALES,E.30 DEN,DL 2008,Documents généraux et du niveau universitaire de Maths,"- Vérifier ses connaissances de cours- Dégager des  méthodes pour les exercices- Savoir rédiger les  solutions. Dans chaque chapitre de cet ouvrage, vous trouverez : -  Un résumé de cours, clair et concis, pour vous aider  à retenir l'essentiel.- Des QCM et des exercices  d'application directe du cours, pour vérifier vos  connaissances avant une colle- Des exercices  classiques   résolus, avec des explications méthodologiques  détaillées dans un style clair, simple et direct, et  des conseils, pour apprendre à raisonner et éviter  les pièges- De nombreux exercices pour vous entraîner  avec une indication du niveau de difficulté et de la  durée approximative de résolution- Tous les  corrigés détaillés et commentés, pour  comprendre et savoir rédiger correctement, avec des  remarques, des conseils et la mise en évidence des points  sensibles de certains exercices.    - Vérifier ses connaissances de cours- Dégager des  méthodes pour les exercices- Savoir rédiger les  solutions. Dans chaque chapitre de cet ouvrage, vous trouverez : -  Un résumé de cours, clair et concis, pour vous aider  à retenir l'essentiel.- Des QCM et des exercices  d'application directe du cours, pour vérifier vos  connaissances avant une colle- Des exercices  classiques   résolus, avec des explications méthodologiques  détaillées dans un style clair, simple et direct, et  des conseils, pour apprendre à raisonner et éviter  les pièges- De nombreux exercices pour vous entraîner  avec une indication du niveau de difficulté et de la  durée approximative de résolution- Tous les  corrigés détaillés et commentés, pour  comprendre et savoir rédiger correctement, avec des  remarques, des conseils et la mise en évidence des points  sensibles de certains exercices.",1.0986
611,2,1,14.0,0.6,0.6,INTRODUCTION A L'OPTIQUE ONDILATOIRE,TIDJANI,PHYSIQUE  CHIMIE  UNIVERSITAIRES,F.30 TID,2010,Documents généraux et du niveau universitaire des PCT, ,0.6931
907,2,2,14.0,0.525,0.525,ALGÈBRE MPSI,MONIER,UMATHEMATIQUES FONDAMENTALES,E.30 MON,2006,Documents généraux et du niveau universitaire de Maths,"Cette 4e édition du cours d'Algèbre de Jean-Marie Monier a été entièrement revue afin de répondre aux besoins des étudiants de classes préparatoires : Un cours complet, pédagogique et conforme au programme. Toutes les notions du programme. Des commentaires dans la marge pour mieux comprendre le cours, présenter les difficultés, mettre en avant les résultats importants. Les "" méthodes à retenir "". De nombreux exercices, accessibles, à difficulté progressive et tous corrigés. Des exercices-types avec solution commentée pour maîtriser les techniques incontournables. Des exercices classés par niveau de difficulté et tous résolus pour s'entraîner. Des problèmes résolus, en fin de chapitre, pour aller plus loin. Une nouvelle maquette structure le contenu pour en faciliter la lecture et assurer un accompagnement pédagogique optimum.",1.0986
955,2,1,14.0,0.6,0.6,MATHÉMATIQUES TERMINALE SM GUIDE PÉDAGOGIQUE,TOURÉ,SCIENCES DE L'EDUCATION - PEDAGOGIE,E.10.1 TOU,2006,Documents de Maths de la classe de Terminale,Chaque chapitre de ce manuel contient :- Un rappel des objectifs de la leçon.- Des commentaires détaillés sur le contenu de la leçon.- La liste des savoirs et des savoir-faire que l'élève doit mettre en pratique.- Des indications pour la correction des exercices du cours et les corrigés des exercices d'entraînement. Des commentaires pédagogiques généraux pour la classe de sixième donnent également des pistes permettant à l'enseignant de s'adapter à l'élève,0.6931
1282,2,2,14.0,0.525,0.525,"MON LIVRE D'ÉVALUATIONS DE SCIENCES PHYSIQUES, CHIMIQUE ET TECHNOLOGIE (SPCT) 2ND C, D ET E",GUIDI,"PHYSIQUE, CHIMIE ET TECHNOLOGIE",F.10.3 GUI,2016,Documents de PCT de la classe de Seconde,Collection de situation d'Evaluation entièrement corrigés ,1.0986
1334,1,1,14.0,0.575,0.5750000000000001,100% EXOS MATHS,BARACHE,MATHÉMATIQUES SECONDAIRE,E.10.3 BAR,"DL 2011, cop. 2011",Documents de Maths de la classe de Seconde,"Des fiches de cours pour mémoriser l'essentiel du programme 250 exercices progressifs pour s'entraîner et des exercices d'approfondissement pour se préparer à la Tle Des sujets de contrôle pour s'évaluer Tous les corrigés, avec des explications pas à pas",0.6931
1521,2,2,14.0,0.55,0.5750000000000001,MATHÉMATIQUES 2NDE,DOSSOU,MATHÉMATIQUES SECONDAIRE,E.10.3 DOS,2012,Documents de Maths de la classe de Seconde,"Ce document contient:
- Résumé de cours 
- Conseils pratiques
- Définitions utiles 
- Exercices corrigés
- Schémas",1.0986
2101,2,1,14.0,0.6,0.6,LES MÉMOIRES DE SHERLOCK HOLMES,DOYLE,LITTÉRATURE,A.40.2 DOY, ,Littérature jeunesse béninoise et africaine,12 nouvelles de 1892 et 1893 :- Flamme d'argent- La Boîte en carton- La Figure jaune- L'Employé de l'agent de change- Le Gloria Scott- Le Rituel de Musgrave- Les Propriétaires de Reigate- L'Estropié- Le Pensionnaire en traitement- L'Interprète grec- Le Traité naval- Le Dernier Problème,0.6931
2212,1,1,14.0,0.525,0.525,L'AFFAIRE BISSI,BARNABÉ-AKAYI,OEUVRES LITTÉRAIRES AU PROGRAMME,A.10.2 BAR,2009,Œuvres littéraires au programme scolaire de la classe de 1ère,"Fari, Funmi, Kadara, Rissi, Tobi, cinq personne trempés dans la sulfureuses intrigues, confrontées chacune à des situations extrêmes où se mêlent visible et invisible, rationel et irrationnel, naturel et para-naturel et où, sur fond d'humour noir, l'amour côtoie non seulement le religieux et sacré aussi et surtout l'horreur et la mort... ",0.6931
2406,1,1,14.0,0.525,0.525,HORIZONTES, ,ETUDES DES LANGUES,B.40.1.3 COL,2001,Documents d'Espagnol de la classe de Seconde, ,0.6931
2491,3,2,14.0,0.5917,0.6,SCIENCES PHYSIQUE CHIMIQUE ET LA TECHNOLOGIE,AÏSSI,"PHYSIQUE, CHIMIE ET TECHNOLOGIE",F.10.2 AIS,2014,Documents de PCT de la classe de Première,"Ce document est élaborer dans le soucis d'aider l'ensemble des usagers de l'école à mieux s'intégrer dans la logique des Nouveaux Programmes d'Etudes en sciences physique,  chimie et technologie.
C'est en mettant au diapason du monde moderne en pleine mutation, que les autorités béninoises au plus haut niveau, ont décidé ...
",1.0986
