user_id,nb_emprunts_total,duree_moy_emprunt,score_lecture_moy,score_lecture_max,nb_sections_lues,section_principale
0137133d7f6f,6,16.3,0.6417,0.675,2,OEUVRES LITTÉRAIRES AU PROGRAMME
02afef41f08b,1,14.0,0.525,0.525,1,MATHÉMATIQUES SECONDAIRE
0408b5f8de3c,4,14.0,0.5875,0.65,2,OEUVRES LITTÉRAIRES AU PROGRAMME
068ba402fe68,1,14.0,0.525,0.525,1,HISTOIRE-GÉOGRAPHIE
09f5ae03691d,1,14.0,0.525,0.525,1,OEUVRES LITTÉRAIRES AU PROGRAMME
0a6db61045a7,1,14.0,0.525,0.525,1,OEUVRES LITTÉRAIRES AU PROGRAMME
0afa81d92bf5,1,14.0,0.525,0.525,1,"PHYSIQUE, CHIMIE ET TECHNOLOGIE"
0b1557e3a39e,1,14.0,0.525,0.525,1,LITTÉRATURE
0b97b6bc58af,4,14.0,0.5875,0.65,2,LITTÉRATURE
0c710e1b0c99,1,14.0,0.525,0.525,1,LITTÉRATURE
117b66efaf62,1,14.0,0.525,0.525,1,SCIENCES DE LA VIE ET DE LA TERRE
11f64877173a,1,14.0,0.525,0.525,1,SCIENCES DE LA VIE ET DE LA TERRE
12d5697e539b,2,14.0,0.55,0.575,2,LITTÉRATURE
146b9450c694,1,14.0,0.525,0.525,1,MATHÉMATIQUES SECONDAIRE
167091f56896,6,14.0,0.5333,0.575,2,LITTÉRATURE
1a71bf9058d7,9,14.0,0.5694,0.65,2,LITTÉRATURE
1a8d2eb2301e,1,18.0,0.525,0.525,1,"PHYSIQUE, CHIMIE ET TECHNOLOGIE"
1b212471bba5,1,14.0,0.525,0.525,1,LITTÉRATURE JEUNESSE BÉNINOISE ET AFRICAINE
1cc1c6d97800,1,14.0,0.525,0.525,1,SCIENCES DE LA VIE ET DE LA TERRE
1ec900ed20df,1,14.0,0.525,0.525,1,"PHYSIQUE, CHIMIE ET TECHNOLOGIE"
